Category: All categories

Day,Mask: (Iowa)
2020-10-09,54
2020-10-10,40
2020-10-11,41
2020-10-12,30
2020-10-13,49
2020-10-14,43
2020-10-15,43
2020-10-16,35
2020-10-17,60
2020-10-18,45
2020-10-19,37
2020-10-20,57
2020-10-21,59
2020-10-22,37
2020-10-23,35
2020-10-24,43
2020-10-25,35
2020-10-26,50
2020-10-27,43
2020-10-28,50
2020-10-29,38
2020-10-30,47
2020-10-31,47
2020-11-01,43
2020-11-02,32
2020-11-03,36
2020-11-04,16
2020-11-05,17
2020-11-06,38
2020-11-07,44
2020-11-08,28
2020-11-09,51
2020-11-10,44
2020-11-11,63
2020-11-12,65
2020-11-13,64
2020-11-14,49
2020-11-15,54
2020-11-16,59
2020-11-17,100
2020-11-18,74
2020-11-19,63
2020-11-20,60
2020-11-21,55
2020-11-22,53
2020-11-23,46
2020-11-24,48
2020-11-25,49
2020-11-26,34
2020-11-27,23
2020-11-28,26
2020-11-29,24
2020-11-30,40
2020-12-01,19
2020-12-02,33
2020-12-03,52
2020-12-04,43
2020-12-05,30
2020-12-06,48
2020-12-07,33
2020-12-08,32
2020-12-09,28
2020-12-10,50
2020-12-11,40
2020-12-12,34
2020-12-13,31
2020-12-14,16
2020-12-15,25
2020-12-16,40
2020-12-17,30
2020-12-18,29
2020-12-19,35
2020-12-20,23
2020-12-21,23
2020-12-22,22
2020-12-23,19
2020-12-24,18
2020-12-25,25
2020-12-26,13
2020-12-27,10
2020-12-28,25
2020-12-29,21
2020-12-30,37
2020-12-31,24
2021-01-01,12
2021-01-02,28
2021-01-03,35
2021-01-04,33
2021-01-05,25
2021-01-06,19
2021-01-07,34
2021-01-08,13
2021-01-09,41
2021-01-10,24
2021-01-11,33
2021-01-12,25
2021-01-13,35
2021-01-14,20
2021-01-15,27
2021-01-16,36
2021-01-17,36
2021-01-18,33
2021-01-19,27
2021-01-20,20
2021-01-21,32
2021-01-22,41
2021-01-23,36
2021-01-24,47
2021-01-25,43
2021-01-26,48
2021-01-27,30
2021-01-28,35
2021-01-29,32
2021-01-30,36
2021-01-31,39
