Category: All categories

Day,Mask: (Kansas)
2020-10-09,97
2020-10-10,60
2020-10-11,66
2020-10-12,52
2020-10-13,37
2020-10-14,45
2020-10-15,38
2020-10-16,66
2020-10-17,84
2020-10-18,82
2020-10-19,68
2020-10-20,71
2020-10-21,93
2020-10-22,82
2020-10-23,70
2020-10-24,67
2020-10-25,86
2020-10-26,53
2020-10-27,46
2020-10-28,47
2020-10-29,67
2020-10-30,68
2020-10-31,38
2020-11-01,51
2020-11-02,66
2020-11-03,32
2020-11-04,18
2020-11-05,24
2020-11-06,29
2020-11-07,42
2020-11-08,41
2020-11-09,76
2020-11-10,48
2020-11-11,53
2020-11-12,57
2020-11-13,87
2020-11-14,73
2020-11-15,68
2020-11-16,70
2020-11-17,35
2020-11-18,57
2020-11-19,100
2020-11-20,74
2020-11-21,94
2020-11-22,46
2020-11-23,72
2020-11-24,67
2020-11-25,66
2020-11-26,64
2020-11-27,53
2020-11-28,23
2020-11-29,50
2020-11-30,43
2020-12-01,48
2020-12-02,53
2020-12-03,44
2020-12-04,44
2020-12-05,35
2020-12-06,51
2020-12-07,40
2020-12-08,56
2020-12-09,50
2020-12-10,50
2020-12-11,38
2020-12-12,42
2020-12-13,48
2020-12-14,49
2020-12-15,38
2020-12-16,50
2020-12-17,28
2020-12-18,59
2020-12-19,56
2020-12-20,32
2020-12-21,51
2020-12-22,47
2020-12-23,49
2020-12-24,24
2020-12-25,13
2020-12-26,25
2020-12-27,46
2020-12-28,43
2020-12-29,46
2020-12-30,43
2020-12-31,39
2021-01-01,32
2021-01-02,45
2021-01-03,30
2021-01-04,37
2021-01-05,65
2021-01-06,10
2021-01-07,34
2021-01-08,44
2021-01-09,64
2021-01-10,41
2021-01-11,48
2021-01-12,56
2021-01-13,40
2021-01-14,54
2021-01-15,18
2021-01-16,55
2021-01-17,48
2021-01-18,28
2021-01-19,49
2021-01-20,28
2021-01-21,32
2021-01-22,47
2021-01-23,30
2021-01-24,26
2021-01-25,53
2021-01-26,46
2021-01-27,42
2021-01-28,67
2021-01-29,60
2021-01-30,50
2021-01-31,67
